WORDCOUNTS,WEIGHT
j,10
m,9
l,9
a,9
john,8
david,7
c,6
d,5
steven,5
daniel,4
n,4
mark,4
gary,4
robert,4
michael,4
peter,4
f,3
george,3
e,3
s,3
paul,3
matthew,3
r,3
thomas,3
brown,3
barbara,2
kenneth,2
edward,2
b,2
k,2
lisa,2
robin,2
h,2
neil,2
stephen,2
w,2
katz,2
roman,2
book,2
dennis,2
i,2
v,2
jean,2
jack,2
richard,2
barry,2
karen,2
eric,2
g,2
alan,2
eder,2
reviewers,2
jeremy,2
berg,2
mccarthy,2
cohen,2
philip,2
james,2
amy,2
may,1
miller,1
van,1
sidney,1
smail,1
hondagneumichael,1
dale,1
joas,1
kaplan,1
bertram,1
marsden,1
xueguang,1
o,1
ann,1
sylvia,1
viadro,1
stigler,1
sciulli,1
stuart,1
gabriel,1
linda,1
lynn,1
alun,1
shields,1
ers,1
dynes,1
tomich,1
hill,1
joan,1
vera,1
logan,1
harris,1
leslie,1
hanagan,1
rodriguez,1
rob,1
levine,1
salaman,1
shanley,1
evans,1
voss,1
brusco,1
joachim,1
sarah,1
kiser,1
pollard,1
sotelo,1
shupe,1
american,1
schmitlinda,1
mercer,1
kenney,1
vanasse,1
clemmadelaine,1
sander,1
gerbauletrobert,1
frank,1
dabashi,1
covington,1
carpenter,1
horowitz,1
philippe,1
victor,1
wharton,1
stathis,1
madriz,1
finegold,1
joseph,1
orts,1
wheaton,1
kaelber,1
western,1
ian,1
tain,1
bo,1
snijders,1
cookson,1
chris,1
elisabeth,1
goldstone,1
scaff,1
marjorie,1
ro,1
rosemary,1
bruce,1
steinmetz,1
freese,1
estroff,1
herrigel,1
abell,1
baker,1
reddy,1
znaniecka,1
denis,1
williams,1
kalberg,1
szporluk,1
krause,1
howell,1
scribner,1
hart,1
harper,1
lee,1
sam,1
roderick,1
wrong,1
kearl,1
chancer,1
curran,1
hagedorn,1
vernetta,1
websdale,1
mestrovic,1
strang,1
frederick,1
troy,1
lenoe,1
rita,1
lutz,1
fabiani,1
lori,1
mansour,1
smith,1
wedeen,1
lemert,1
zimdarsdennis,1
klaus,1
sandefur,1
kennedy,1
allan,1
smithwilliam,1
ney,1
best,1
messner,1
sullivan,1
finder,1
erickson,1
wolfe,1
p,1
wagner,1
roland,1
stjepan,1
cz,1
antonio,1
becker,1
vilna,1
graeme,1
mclellan,1
hoynes,1
jennifer,1
selznick,1
harvey,1
man,1
faist,1
parsa,1
stier,1
edgell,1
craib,1
greenbaum,1
keith,1
wyattswartz,1
william,1
idler,1
manzo,1
sue,1
inciardi,1
theodore,1
hoy,1
mu,1
giordano,1
duara,1
kevin,1
schneider,1
nee,1
brenner,1
reuben,1
honeycutt,1
pfaff,1
judith,1
sociology,1
russell,1
hearn,1
epstein,1
esther,1
prasenjit,1
hein,1
vogel,1
quigley,1
belinda,1
jacobs,1
zolberg,1
salzinger,1
kalyvas,1
hall,1
kathryn,1
restivo,1
sal,1
calhoun,1
elliott,1
stryker,1
roisman,1
marc,1
of,1
argiros,1
douglas,1
robertson,1
morenoj,1
kayal,1
buttel,1
craig,1
norma,1
waite,1
ens,1
foley,1
hillis,1
fine,1
haya,1
peggy,1
nullmeier,1
schervish,1
greeley,1
devault,1
breslau,1
elshlaurie,1
blum,1
scheff,1
elizabeth,1
binder,1
tia,1
carruthzelda,1
penny,1
laurence,1
denora,1
misagh,1
stevenson,1
zhou,1
snow,1
jo,1
li,1
farkas,1
schubert,1
gamson,1
kain,1
blau,1
andrew,1
savelsclaire,1
ronald,1
schwartz,1
roger,1
ter,1
joel,1
walton,1
donald,1
edgar,1
menachem,1
lindenbaum,1
romm,1
movindri,1
robnett,1
donna,1
samuel,1
gieryn,1
zsef,1
colvin,1
rebecca,1
ray,1
janet,1
nch,1
armstrong,1
helena,1
walsh,1
lauritsen,1
jasper,1
garcelon,1
gilman,1
teixeira,1
mccord,1
jr,1
shirley,1
gates,1
tom,1
barnes,1
fenn,1
heilman,1
pacifici,1
bashi,1
mamiya,1
nagengast,1
caplan,1
rosner,1
bacon,1
schoenhals,1
heyns,1
jeanette,1
gonos,1
bethke,1
martin,1
rosenberg,1
christopher,1
ruth,1
mckinlawrence,1
molotch,1
zong,1
charles,1
disch,1
ingram,1
young,1
alois,1
carole,1
tipton,1
anderson,1
neckerrobert,1
reeves,1
hahn,1
crompton,1
ira,1
tiryakian,1
little,1
journal,1
hamid,1
kornblum,1
bonaksteven,1
ellen,1
gould,1
darian,1
taylor,1
buford,1
rytina,1
pierette,1
jerry,1
ruy,1
gold,1
jones,1
sandra,1
anson,1
hans,1
lopata,1
rhoades,1
stephens,1
aya,1
lahrman,1
manuel,1
