WORDCOUNTS,WEIGHT
j,7
a,7
l,6
john,5
m,4
r,4
lisa,4
steven,3
david,3
e,3
neil,3
b,3
charles,3
c,3
michael,3
p,3
susan,3
stephen,3
g,3
william,3
n,2
k,2
alan,2
moore,2
d,2
james,2
adam,2
martha,2
richard,2
barry,2
philip,2
brown,2
patrick,2
thomas,2
arthur,2
chen,2
ellen,2
jeffrey,2
jean,1
i,1
nicholas,1
pasko,1
bodnar,1
twine,1
mary,1
may,1
zureik,1
raymo,1
florencia,1
gilkes,1
elia,1
ferraro,1
campbell,1
rakesh,1
derluguian,1
walsh,1
werum,1
monson,1
mccright,1
beckfield,1
washington,1
dobbin,1
kevin,1
erika,1
zine,1
ajs,1
zhao,1
uzzi,1
mohammed,1
arrighi,1
colin,1
reuben,1
pamela,1
reitz,1
schrank,1
mignon,1
ng,1
velazquez,1
bruce,1
palriwala,1
molotch,1
robnett,1
prema,1
sociology,1
townsend,1
goldman,1
cunningham,1
ruef,1
xie,1
guthrie,1
diprete,1
zsuzsa,1
milner,1
aaron,1
gretchen,1
yang,1
cheris,1
mcmichael,1
kempny,1
gilda,1
hart,1
liang,1
rebecca,1
adrian,1
george,1
camic,1
akard,1
lee,1
volume,1
phil,1
chan,1
bamyeh,1
schuman,1
demerath,1
takahashi,1
mark,1
jasper,1
whitehead,1
biondi,1
belinda,1
lynn,1
jones,1
hang,1
short,1
reviewers,1
smith,1
bradford,1
konieczny,1
brian,1
s,1
mccaughey,1
number,1
fife,1
buford,1
laurie,1
paul,1
eatwell,1
dorothy,1
gates,1
szelenyi,1
lena,1
hall,1
viterna,1
watkins,1
sherri,1
carolyn,1
rajagopal,1
nikki,1
logan,1
roger,1
leslie,1
france,1
nichols,1
renee,1
keister,1
delamater,1
soderlund,1
ralph,1
celeste,1
carruthers,1
giovanni,1
costello,1
madsen,1
rajni,1
marian,1
sewell,1
conroy,1
migdal,1
stockdill,1
brooke,1
smilde,1
danielle,1
ward,1
harrington,1
mayer,1
eckstein,1
grasmuck,1
brockett,1
summersyu,1
kathleen,1
judit,1
magubane,1
of,1
clifford,1
anna,1
clark,1
gille,1
h,1
ivan,1
patria,1
seligman,1
dandaneau,1
gary,1
carr,1
sandefur,1
julian,1
rapaport,1
howard,1
gotham,1
american,1
book,1
andrew,1
olick,1
dawson,1
rick,1
smock,1
suttles,1
favell,1
xiangming,1
fine,1
plank,1
romanpaul,1
fineran,1
lovekamp,1
doug,1
porter,1
kurzman,1
rozman,1
peggy,1
roberto,1
zai,1
young,1
sharit,1
scott,1
journal,1
gilbert,1
daphne,1
myers,1
stinchcombe,1
beckert,1
das,1
robin,1
kwan,1
frank,1
josh,1
zwerman,1
brenner,1
franzosi,1
tally,1
brantlinger,1
geoff,1
kwai,1
khurana,1
dingxin,1
torche,1
iii,1
deflem,1
effler,1
spain,1
bhowmik,1
jason,1
martin,1
carrie,1
clear,1
georgi,1
statham,1
ching,1
gittell,1
deborah,1
rubinfeld,1
todd,1
mathieu,1
tia,1
park,1
linneman,1
barker,1
heather,1
ross,1
neal,1
kibria,1
jocelyn,1
kurien,1
schaffner,1
jennifer,1
regina,1
gould,1
denora,1
reynolds,1
gavanas,1
taylor,1
veena,1
harvey,1
jr,1
joel,1
lorne,1
halle,1
whitford,1
lukes,1
winddance,1
swedberg,1
karen,1
schwartz,1
anne,1
nazli,1
gross,1
tibi,1
terry,1
preda,1
arvind,1
farkas,1
zald,1
holohan,1
jens,1
fong,1
betsy,1
gerald,1
staples,1
carroll,1
bassam,1
alex,1
stryker,1
murray,1
berger,1
egan,1
cheryl,1
eric,1
robinson,1
mccormack,1
christakis,1
robert,1
sica,1
gold,1
tanner,1
cruz,1
jeremy,1
brett,1
burstein,1
