WORDCOUNTS,WEIGHT
the,1386
of,794
in,637
and,631
to,407
a,307
that,200
was,178
by,155
with,128
were,123
on,116
it,109
as,106
for,100
ethnic,99
or,98
ireland,96
international,93
is,92
not,84
be,83
this,82
pp,77
competition,76
more,75
have,71
from,68
they,63
their,63
an,60
catholics,59
p,59
s,54
conflict,54
during,52
one,51
century,51
can,51
i,50
but,49
had,48
power,47
new,47
powers,46
which,46
war,45
university,45
his,44
press,44
french,43
louis,43
other,42
than,42
minorities,42
most,41
state,40
these,40
vaudois,39
catholic,39
he,39
has,39
american,38
could,38
states,38
france,38
at,37
some,37
highlands,37
been,37
are,37
sociology,37
groups,36
western,36
journal,35
minority,35
scotland,34
j,34
importance,33
between,33
great,32
against,32
treatment,32
did,32
political,31
william,31
also,31
british,30
relations,30
edited,30
alsace,30
into,29
islands,29
religious,29
middle,29
strategic,28
social,28
region,28
them,28
attitudes,27
g,26
london,26
irish,26
history,25
there,25
even,25
another,25
would,25
scottish,24
york,24
result,24
struggles,24
protestants,24
europe,23
support,23
english,22
especially,22
large,21
those,21
m,21
however,21
r,21
its,21
when,21
toward,21
yet,21
so,21
what,21
persecution,20
cases,20
xiv,20
literature,20
people,20
two,20
who,20
over,20
number,20
among,20
e,19
reasons,19
because,19
many,19
time,19
proposition,19
w,19
struggle,18
if,18
england,18
nagel,18
protestant,18
forces,18
l,18
continental,18
crown,18
invasion,18
all,17
racial,17
prejudice,17
behavior,17
cambridge,17
may,17
after,17
place,17
land,17
case,16
such,16
oxford,16
n,16
propositions,16
will,16
d,16
made,16
both,16
became,16
ii,15
military,15
conditions,15
review,15
interest,15
study,15
genocide,15
generally,15
greater,15
under,15
control,15
theory,15
years,15
jews,14
policy,14
no,14
out,14
t,14
sociological,14
britain,14
often,14
symcox,14
race,14
likely,13
protection,13
world,13
attitudinal,13
de,13
f,13
assistance,13
same,13
spain,13
internationalization,13
israel,13
period,13
effect,13
james,13
attention,13
european,13
foreign,13
much,13
group,12
modern,12
religion,12
reason,12
important,12
strategy,12
conflicts,12
caught,12
alliance,12
about,12
edict,12
jacobite,12
shall,12
local,12
isles,12
increased,12
c,12
north,12
germany,11
first,11
politics,11
laws,11
savoy,11
former,11
argued,11
came,11
population,11
well,11
situational,11
spanish,11
efforts,11
only,11
do,11
rulers,11
examples,11
alsatians,11
united,11
fear,11
empire,11
then,11
country,11
historical,11
emphasis,11
tried,11
come,11
early,11
penal,11
h,10
amadeus,10
carment,10
east,10
valleys,10
olzak,10
rights,10
rather,10
how,10
certain,10
found,10
lords,10
et,10
victor,10
treaty,10
dukes,10
external,10
see,10
assumption,10
army,10
centuries,10
following,10
macinnes,10
elites,10
major,10
being,9
interests,9
toleration,9
forced,9
racism,9
german,9
mcgarry,9
though,9
ethnicity,9
fusion,9
continent,9
larger,9
john,9
routledge,9
general,9
we,9
half,9
psychology,9
although,9
reformation,9
lutherans,9
russia,9
seek,9
should,9
true,8
studies,8
armenians,8
occurred,8
roman,8
differences,8
able,8
government,8
last,8
resources,8
alliances,8
frequently,8
threat,8
part,8
least,8
revolution,8
brown,8
second,8
whorton,8
gurr,8
pressure,8
end,8
less,8
catholicism,8
like,8
national,8
article,8
primarily,8
sought,8
role,8
finally,8
off,8
way,7
affected,7
use,7
take,7
