WORDCOUNTS,WEIGHT
m,9
david,9
a,8
r,6
john,6
l,5
e,5
w,4
j,4
h,4
michael,3
bruce,3
g,3
d,3
kevin,3
c,3
frank,3
p,3
robert,3
o,2
george,2
lee,2
anthony,2
harrington,2
linda,2
reviewers,2
james,2
paul,2
sarah,2
richard,2
book,2
k,2
debra,2
william,2
joseph,2
n,1
solomos,1
idler,1
schram,1
ro,1
garcia,1
linders,1
merrill,1
aspers,1
mary,1
delanty,1
doris,1
gary,1
van,1
dan,1
nakano,1
harvey,1
orum,1
hirao,1
f,1
daniel,1
thomas,1
nevarez,1
keister,1
rita,1
gutmann,1
alford,1
delaney,1
kefalas,1
marilyn,1
bertram,1
breines,1
andrade,1
entwisle,1
pablo,1
matthews,1
steve,1
ajs,1
mario,1
donald,1
morawska,1
nikaido,1
chirot,1
webster,1
ayelet,1
falascacolm,1
judith,1
yazawa,1
molotch,1
robnett,1
prema,1
bogue,1
williams,1
soares,1
anita,1
gilda,1
philip,1
eng,1
aaron,1
berezin,1
wini,1
patrik,1
zsef,1
mcnulty,1
t,1
richie,1
peter,1
bobai,1
rebecca,1
prechel,1
jo,1
vila,1
phillip,1
baiocchi,1
shafer,1
roy,1
fox,1
sonya,1
greve,1
hertz,1
holyfield,1
li,1
blum,1
hanley,1
belinda,1
jacobs,1
jonathan,1
kogila,1
henrich,1
nella,1
matthew,1
number,1
pinch,1
edward,1
jr,1
kahn,1
bobo,1
beth,1
albonetti,1
jeffrey,1
hall,1
alison,1
leonard,1
meyer,1
newby,1
yehuda,1
kunovich,1
keiko,1
medrano,1
gil,1
oxhorn,1
mu,1
jeff,1
elliott,1
volume,1
benesterberg,1
mangan,1
le,1
carruthers,1
byrne,1
warner,1
moody,1
christena,1
juan,1
howard,1
gotham,1
don,1
allahyari,1
madonna,1
lori,1
mahoney,1
simson,1
bert,1
ritzer,1
martin,1
bair,1
kathleen,1
bryant,1
cox,1
manza,1
dı,1
lin,1
minkoff,1
sikkink,1
gille,1
lawrence,1
agrawal,1
kyle,1
fenggang,1
douglas,1
zorn,1
christine,1
dandaneau,1
steven,1
xi,1
b,1
michel,1
evelyn,1
crespo,1
kiel,1
hoffman,1
brady,1
geoffrey,1
s,1
byron,1
ciccantell,1
miche,1
he,1
nachman,1
dirk,1
nancy,1
branch,1
bonanno,1
celesta,1
telles,1
kertzer,1
alice,1
peggy,1
gilman,1
bell,1
kitzinger,1
young,1
marsh,1
trevor,1
lisa,1
dean,1
joel,1
rosanna,1
olick,1
friedrichs,1
sander,1
lily,1
ewa,1
kwan,1
glenn,1
zwerman,1
alarco,1
carrillo,1
lyon,1
ammerman,1
alessandro,1
mcbrier,1
aronowitz,1
nch,1
eric,1
shujiro,1
anulla,1
gerard,1
sanford,1
cohler,1
ingham,1
elizabeth,1
ez,1
shachar,1
cz,1
connell,1
murphy,1
ching,1
strydom,1
kelly,1
zimmerman,1
ctor,1
farley,1
crank,1
yang,1
deborah,1
kim,1
klandermans,1
zamponi,1
gianpaolo,1
chang,1
ettema,1
nippertjohn,1
root,1
bennett,1
noonan,1
kurien,1
arthur,1
chen,1
jennifer,1
ellen,1
clawson,1
psathas,1
ilta,1
foran,1
celia,1
hefner,1
i,1
gonzales,1
chigon,1
maria,1
dyke,1
blee,1
shalev,1
zsuzsa,1
starbuck,1
stephen,1
kristin,1
smilde,1
bartkowski,1
western,1
harland,1
mabel,1
robinson,1
connor,1
kayzar,1
rafael,1
smith,1
tallman,1
moodley,1
marshall,1
jan,1
bo,1
luloff,1
lamont,1
wilson,1
stanley,1
andy,1
devor,1
piet,1
diani,1
dickens,1
eyal,1
simonetta,1
reynolds,1
maxine,1
warren,1
dobbin,1
molyneux,1
kosuke,1
brenda,1
garey,1
wolpe,1
arun,1
lachmann,1
