"from_id","from_name","message","created_time","type","link","id","likes_count","comments_count","shares_count"
"6815841748","Barack Obama","It's been exactly two years since President Obama signed health reform into law, and Obamacare is making millions of Americans' lives better. If you're proud to be standing alongside the President who got it done, stand up and say ""Hell yeah, I like Obamacare"": http://OFA.BO/G5k4zA","2012-03-23T20:41:24+0000","photo","https://www.facebook.com/ilikeobamacare/photos/a.325964180798921.76592.325578590837480/325965077465498/?type=1","6815841748_399561110072638",46047,3180,2727
"6815841748","Barack Obama","It wasn’t easy—but we got it done.","2012-03-23T00:49:18+0000","video","http://www.youtube.com/watch?v=P9LTAageny0","6815841748_264232556993987",36667,3856,3398
"6815841748","Barack Obama","Vice President Joe Biden hit the campaign trail with a visit to Toledo, Ohio last week, where he talked to autoworkers about the bet that paid off—and helped revive their city.","2012-03-22T16:54:31+0000","video","http://www.youtube.com/watch?v=PQwcPGhMRnM","6815841748_164304480357330",8625,1341,608
"6815841748","Barack Obama","“Believe it or not, before my husband signed the Affordable Care Act into law, insurance companies could actually charge women up to 50% more than men—simply because of their gender.”—First Lady Michelle Obama. Protect progress for women’s health by joining the First Lady and Women for Obama for a week of action: http://OFA.BO/UVGCSD","2012-03-22T01:11:14+0000","video","http://www.youtube.com/watch?v=Yi-2ES_-1FM","6815841748_232195490211187",25699,2713,2866
"6815841748","Barack Obama","""I am proud of you,"" Stephon signed. ""Thank you,"" the President signed back. http://OFA.BO/gHa5TM","2012-03-21T15:17:53+0000","status",NA,"6815841748_10150642336971749",9507,1306,640
"6815841748","Barack Obama","Without the Affordable Care Act, Zoe would have been halfway to her lifetime insurance limit at 6 months old. This is a video every parent needs to see.","2012-03-21T00:58:49+0000","video","http://www.youtube.com/watch?v=zv26zzUMVjc","6815841748_276041235809234",17553,1793,4303
"6815841748","Barack Obama","The Iraq war began nine years ago today. Hear Purple Heart recipient Sharon Potter describe how she felt when President Obama ended the war and welcomed our troops home—then send our veterans your own “welcome home” message through Veterans for Obama: http://OFA.BO/YDqwfe","2012-03-19T16:26:27+0000","video","http://www.youtube.com/watch?v=NALNYjXNxI0","6815841748_253715558054827",10609,1765,1041
"6815841748","Barack Obama","Watch as Jim, a firefighter from Ohio, finds out he’s been invited to have dinner with President Obama.","2012-03-18T15:52:12+0000","video","http://www.youtube.com/watch?v=Cpkh0zuh3KM","6815841748_369091539788662",10443,1304,508
"6815841748","Barack Obama","President Obama stopped by an Irish pub in Washington, D.C. for a Guinness this afternoon. How are you celebrating St. Paddy's?","2012-03-17T20:45:12+0000","photo","https://www.facebook.com/barackobama/photos/a.53081056748.66806.6815841748/10150634658091749/?type=1","6815841748_10150634658091749",46932,6473,3419
"6815841748","Barack Obama","President Obama made some tough calls to bring our country back from the brink—and “The Road We’ve Traveled” takes you through those pivotal moments. You’ll want to show everyone you know these 17 minutes.","2012-03-17T01:23:58+0000","video","http://www.youtube.com/watch?v=2POembdArVo","6815841748_161668327286813",50758,12500,11183
